City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2090409,Mount Hagen,PG,-5.8581,144.2274,24.92,40,83,1.03
2912481,Hagenow,DE,53.4333,11.1833,10.72,93,100,1.82
3899361,Arica,CL,-18.475,-70.3042,16.13,77,75,1.54
2334008,Kontagora,NG,10.3999,5.4695,26.69,65,19,1.91
3628473,San Cristobal,VE,7.7669,-72.225,23.1,99,100,1.65
3358666,Aranos,NA,-24.1333,19.1167,14.19,30,100,2.4
6144312,Sept-Îles,CA,50.2001,-66.3821,5.59,76,55,0.45
590447,Karla,EE,59.3723,24.9275,9.98,50,0,4.63
362973,Abnūb,EG,27.2696,31.1511,22.63,25,2,4.21
3401845,Conceição do Araguaia,BR,-8.2578,-49.2647,23.26,72,25,0.81
3641351,El Tigre,VE,8.8875,-64.2454,27.92,53,9,4.11
